ID,CommitCount#Lab1,CommitCount#Lab2,CommitCount#Lab3,CommitCount#Lab4,CommitCount#Total,Failed#Lab1,Failed#Lab2,Failed#Lab3,Failed#Lab4,Failed#Total,Passed#Lab1,Passed#Lab2,Passed#Lab3,Passed#Lab4,Passed#Total,Error#Lab1,Error#Lab2,Error#Lab3,Error#Lab4,Error#Total,Done#Lab1 ,Done#Lab2,Done#Lab3,Done#Lab4,Done#Total ,Dropout#Lab2,Dropout#Lab3,Dropout#Lab4,ActiveDays#Lab1,ActiveDays#Lab2 ,ActiveDays#Lab3,ActiveDays#Lab4,ActiveDays#Total,CommitsPerDay#Lab1,CommitsPerDay#Lab2,CommitsPerDay#Lab3,CommitsPerDay#Lab4,CommitsPerDay#Total
240315,0.07407407407407407,0.1764705882352941,0.3333333333333333,0.21052631578947367,0.25925925925925924,0.25,0.375,0.36363636363636365,0.0,0.25,0.4285714285714285,0.625,0.7647058823529411,0.625,0.6964285714285714,0.25,0.2857142857142857,0.0625,0.0,0.21212121212121213,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.125,0.25,0.125,0.3333333333333333,0.30000000000000004,0.1111111111111111,0.1,0.4444444444444444,0.125,0.35000000000000003
240467,0.037037037037037035,0.058823529411764705,0.06666666666666667,0.05263157894736842,0.07407407407407407,0.125,0.125,0.09090909090909091,0.06666666666666667,0.1111111111111111,0.07142857142857142,0.0625,0.058823529411764705,0.0625,0.07142857142857142,0.125,0.07142857142857142,0.0625,0.06666666666666667,0.12121212121212122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
240480,0.037037037037037035,0.058823529411764705,0.06666666666666667,0.05263157894736842,0.07407407407407407,0.125,0.125,0.09090909090909091,0.06666666666666667,0.1111111111111111,0.07142857142857142,0.0625,0.058823529411764705,0.0625,0.07142857142857142,0.125,0.07142857142857142,0.0625,0.06666666666666667,0.12121212121212122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
240591,0.07407407407407407,0.0,0.0,0.0,0.037037037037037035,1.0,0.0,0.0,0.0,0.2222222222222222,0.07142857142857142,0.0,0.0,0.0,0.017857142857142856,0.125,0.0,0.0,0.0,0.030303030303030304,1.0,0.0,0.0,0.0,0.25,1.0,0.0,0.0,0.125,0.0,0.0,0.0,0.05,0.1111111111111111,0.0,0.0,0.0,0.05
240626,0.037037037037037035,0.058823529411764705,0.06666666666666667,0.05263157894736842,0.07407407407407407,0.125,0.125,0.09090909090909091,0.06666666666666667,0.1111111111111111,0.07142857142857142,0.0625,0.058823529411764705,0.0625,0.07142857142857142,0.125,0.07142857142857142,0.0625,0.06666666666666667,0.12121212121212122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
240682,0.037037037037037035,0.058823529411764705,0.06666666666666667,0.05263157894736842,0.07407407407407407,0.125,0.125,0.09090909090909091,0.06666666666666667,0.1111111111111111,0.07142857142857142,0.0625,0.058823529411764705,0.0625,0.07142857142857142,0.125,0.07142857142857142,0.0625,0.06666666666666667,0.12121212121212122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
240705,0.07407407407407407,0.29411764705882354,0.0,0.0,0.12962962962962962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,0.0,1.0,0.0,0.125,0.25,0.0,0.0,0.15000000000000002,0.1111111111111111,0.2,0.0,0.0,0.15000000000000002
240717,0.18518518518518517,0.5294117647058824,0.2,0.0,0.31481481481481477,0.375,0.375,0.4545454545454546,0.0,0.3055555555555555,0.4285714285714285,0.5625,0.058823529411764705,0.0,0.2857142857142857,0.125,0.3571428571428571,0.75,0.0,0.5454545454545454,1.0,1.0,1.0,0.0,0.75,0.0,0.0,1.0,0.125,0.375,0.125,0.0,0.25,0.4444444444444444,0.2,0.2222222222222222,0.0,0.4
240943,0.037037037037037035,0.058823529411764705,0.06666666666666667,0.05263157894736842,0.07407407407407407,0.125,0.125,0.09090909090909091,0.06666666666666667,0.1111111111111111,0.07142857142857142,0.0625,0.058823529411764705,0.0625,0.07142857142857142,0.125,0.07142857142857142,0.0625,0.06666666666666667,0.12121212121212122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
240958,0.037037037037037035,0.058823529411764705,0.06666666666666667,0.05263157894736842,0.07407407407407407,0.125,0.125,0.09090909090909091,0.06666666666666667,0.1111111111111111,0.07142857142857142,0.0625,0.058823529411764705,0.0625,0.07142857142857142,0.125,0.07142857142857142,0.0625,0.06666666666666667,0.12121212121212122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
241141,0.2222222222222222,0.0,0.26666666666666666,0.0,0.18518518518518517,0.125,0.0,0.4545454545454546,0.0,0.16666666666666666,0.5,0.0,0.058823529411764705,0.0,0.14285714285714285,0.25,0.0,0.75,0.0,0.42424242424242425,1.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.2,0.2222222222222222,0.0,0.1111111111111111,0.0,0.15000000000000002
241212,0.037037037037037035,0.058823529411764705,0.06666666666666667,0.05263157894736842,0.07407407407407407,0.125,0.125,0.09090909090909091,0.06666666666666667,0.1111111111111111,0.07142857142857142,0.0625,0.058823529411764705,0.0625,0.07142857142857142,0.125,0.07142857142857142,0.0625,0.06666666666666667,0.12121212121212122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
