Pr setosa,Rc setosa,F1 setosa,Acc Bal setosa,Pr versicolor,Rc versicolor,F1 versicolor,Acc Bal versicolor,Pr virginica,Rc virginica,F1 virginica,Acc Bal virginica,Pr micro,Rc micro,F1 micro,Pr macro,Rc macro,F1 macro,Pr weighted,Rc weighted,F1 weighted,Acc Bal,target,algo,features_family,set,split,type_alg,x,selection_methods,featsel,Pr other,Rc other,F1 other,Acc Bal other
1.0,1.0,1.0,1.0,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8973214285714286,0.875,0.875,0.875,0.9041666666666667,0.9130434782608695,0.9130434782608695,0.9130434782608695,0.9107142857142857,0.9107142857142857,0.9107142857142857,0.9130434782608695,0.9130434782608695,0.9130434782608695,0.9107142857142857,Target 1,KNeighborsClassifier,All,Test,0,classification,-1,-1,-1,,,,
1.0,1.0,1.0,1.0,0.9761904761904762,0.9534883720930233,0.9647058823529412,0.9707918050941307,0.9534883720930233,0.9761904761904762,0.9647058823529412,0.9763305322128851,0.9763779527559056,0.9763779527559056,0.9763779527559056,0.9765596160944998,0.9765596160944998,0.9764705882352942,0.9765567094810824,0.9763779527559056,0.9763779527559056,0.9765596160944998,Target 1,KNeighborsClassifier,All,Train,0,classification,-1,-1,-1,,,,
1.0,1.0,1.0,1.0,1.0,0.8571428571428571,0.923076923076923,0.9285714285714286,0.8888888888888888,1.0,0.9411764705882353,0.9666666666666667,0.9565217391304348,0.9565217391304348,0.9565217391304348,0.9629629629629629,0.9523809523809524,0.9547511312217193,0.9613526570048309,0.9565217391304348,0.9561282707062758,0.9523809523809524,Target 1,SVC,All,Test,0,classification,-1,-1,-1,,,,
1.0,1.0,1.0,1.0,1.0,0.9767441860465116,0.988235294117647,0.9883720930232558,0.9767441860465116,1.0,0.988235294117647,0.9941176470588236,0.9921259842519685,0.9921259842519685,0.9921259842519685,0.9922480620155039,0.9922480620155039,0.9921568627450981,0.9923091008972715,0.9921259842519685,0.9921259842519685,0.9922480620155039,Target 1,SVC,All,Train,0,classification,-1,-1,-1,,,,
1.0,1.0,1.0,1.0,0.7777777777777778,1.0,0.8750000000000001,0.9375,1.0,0.75,0.8571428571428571,0.875,0.9130434782608695,0.9130434782608695,0.9130434782608695,0.9259259259259259,0.9166666666666666,0.9107142857142857,0.932367149758454,0.9130434782608695,0.9122670807453417,0.9166666666666666,Target 1,DecisionTreeClassifier,All,Test,0,classification,-1,-1,-1,,,,
1.0,1.0,1.0,1.0,0.9333333333333333,0.9767441860465116,0.9545454545454545,0.970514950166113,0.975,0.9285714285714286,0.951219512195122,0.9584033613445379,0.968503937007874,0.968503937007874,0.968503937007874,0.9694444444444444,0.9684385382059801,0.9685883222468589,0.9691601049868764,0.968503937007874,0.9684777484854303,0.9684385382059801,Target 1,DecisionTreeClassifier,All,Train,0,classification,-1,-1,-1,,,,
1.0,1.0,1.0,1.0,0.7777777777777778,1.0,0.8750000000000001,0.9375,1.0,0.75,0.8571428571428571,0.875,0.9130434782608695,0.9130434782608695,0.9130434782608695,0.9259259259259259,0.9166666666666666,0.9107142857142857,0.932367149758454,0.9130434782608695,0.9122670807453417,0.9166666666666666,Target 1,RandomForestClassifier,All,Test,0,classification,-1,-1,-1,,,,
1.0,1.0,1.0,1.0,0.9318181818181818,0.9534883720930233,0.942528735632184,0.9588870431893688,0.9512195121951219,0.9285714285714286,0.9397590361445782,0.9525210084033613,0.9606299212598425,0.9606299212598425,0.9606299212598425,0.9610125646711012,0.960686600221484,0.9607625905922541,0.9607826876407632,0.9606299212598425,0.9606190169311511,0.960686600221484,Target 1,RandomForestClassifier,All,Train,0,classification,-1,-1,-1,,,,
1.0,1.0,1.0,1.0,0.7777777777777778,1.0,0.8750000000000001,0.9375,1.0,0.75,0.8571428571428571,0.875,0.9130434782608695,0.9130434782608695,0.9130434782608695,0.9259259259259259,0.9166666666666666,0.9107142857142857,0.932367149758454,0.9130434782608695,0.9122670807453417,0.9166666666666666,Target 1,GaussianNB,All,Test,0,classification,-1,-1,-1,,,,
1.0,1.0,1.0,1.0,0.9534883720930233,0.9534883720930233,0.9534883720930233,0.9648394241417497,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9644257703081232,0.968503937007874,0.968503937007874,0.968503937007874,0.9686231081579919,0.9686231081579919,0.9686231081579919,0.968503937007874,0.968503937007874,0.968503937007874,0.9686231081579919,Target 1,GaussianNB,All,Train,0,classification,-1,-1,-1,,,,
1.0,1.0,1.0,1.0,1.0,0.8571428571428571,0.923076923076923,0.9285714285714286,0.8888888888888888,1.0,0.9411764705882353,0.9666666666666667,0.9565217391304348,0.9565217391304348,0.9565217391304348,0.9629629629629629,0.9523809523809524,0.9547511312217193,0.9613526570048309,0.9565217391304348,0.9561282707062758,0.9523809523809524,Target 1,GaussianProcessClassifier,All,Test,0,classification,-1,-1,-1,,,,
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Target 1,GaussianProcessClassifier,All,Train,0,classification,-1,-1,-1,,,,
1.0,1.0,1.0,1.0,1.0,0.8571428571428571,0.923076923076923,0.9285714285714286,0.8888888888888888,1.0,0.9411764705882353,0.9666666666666667,0.9565217391304348,0.9565217391304348,0.9565217391304348,0.9629629629629629,0.9523809523809524,0.9547511312217193,0.9613526570048309,0.9565217391304348,0.9561282707062758,0.9523809523809524,Target 1,MLPClassifier,All,Test,0,classification,-1,-1,-1,,,,
