ID,CommitCount#Lab1,Failed#Lab1,Passed#Lab1,Error#Lab1,Done#Lab1 ,ActiveDays#Lab1,CommitsPerDay#Lab1
134806,0.037037037037037035,0.125,0.07142857142857142,0.125,0.0,0.0,0.0
141133,0.1111111111111111,0.125,0.4285714285714285,0.375,1.0,0.25,0.1111111111111111
141699,0.07407407407407407,0.125,0.5714285714285714,0.125,1.0,0.125,0.1111111111111111
148194,0.1111111111111111,1.0,0.07142857142857142,0.125,1.0,0.25,0.1111111111111111
159955,0.037037037037037035,0.125,0.07142857142857142,0.125,0.0,0.0,0.0
171324,0.037037037037037035,0.125,0.07142857142857142,0.125,0.0,0.0,0.0
171798,0.037037037037037035,0.125,0.07142857142857142,0.125,0.0,0.0,0.0
171997,0.037037037037037035,0.125,0.07142857142857142,0.125,0.0,0.0,0.0
172546,0.037037037037037035,0.125,0.07142857142857142,0.125,0.0,0.0,0.0
173333,0.037037037037037035,0.125,0.07142857142857142,0.125,0.0,0.0,0.0
176190,0.037037037037037035,0.125,0.07142857142857142,0.125,0.0,0.0,0.0
176301,0.037037037037037035,0.125,0.07142857142857142,0.125,0.0,0.0,0.0
180886,0.07407407407407407,0.125,0.5714285714285714,0.125,1.0,0.125,0.1111111111111111
182803,0.07407407407407407,0.75,0.21428571428571427,0.125,1.0,0.125,0.1111111111111111
183521,0.07407407407407407,0.125,0.5714285714285714,0.125,1.0,0.125,0.1111111111111111
185493,0.18518518518518517,0.375,0.4285714285714285,0.125,1.0,0.25,0.2222222222222222
185638,0.037037037037037035,0.125,0.07142857142857142,0.125,0.0,0.0,0.0
186166,0.037037037037037035,0.125,0.07142857142857142,0.125,0.0,0.0,0.0
186636,0.0,0.0,0.0,0.0,0.0,0.0,0.0
187285,0.07407407407407407,0.75,0.14285714285714285,0.25,1.0,0.125,0.1111111111111111
187597,0.037037037037037035,0.125,0.07142857142857142,0.125,0.0,0.0,0.0
193528,0.037037037037037035,0.125,0.07142857142857142,0.125,0.0,0.0,0.0
